author,desc,plays,likes,shares,comments,link,song
Eridani Silveyra Vega,#mcdsbelikeee🤣🤣,1200000,49800,414,481,https://v19.tiktokcdn.com/1ffd8641d94b542f3f3feb48d4543bd2/5eec4365/video/tos/useast2a/tos-useast2a-ve-0068c004/ce9ede494fb947a1a71c7b71239bd9f8/?a=1233&br=4132&bt=2066&cr=0&cs=0&dr=0&ds=3&er=&l=20200618224718010189074016198CA4E2&lr=tiktok_m&mime_type=video_mp4&qs=0&rc=M2htM3Y1bXd4dDMzNjczM0ApZjw6OWU3OmU0N2VoODs8OmcuMGZzcGAxMXJfLS0yMTZzczAzXmBfMjQ0YmIwYC9hNDU6Yw%3D%3D&vl=&vr=,Control
Jenny Correa,when you ask your mexican dad for a jump rope ... 😂 #fyp #mexican #mexicandad,1000000,257200,927,526,https://v19.tiktokcdn.com/a7160ee1cdaf672e302d2f4b1c6a28ba/5eec4368/video/tos/useast2a/tos-useast2a-ve-0068c004/448815ef3e3c424fa7bfd00155e4d5df/?a=1233&br=4008&bt=2004&cr=0&cs=0&dr=0&ds=3&er=&l=20200618224718010189074016198CA4E2&lr=tiktok_m&mime_type=video_mp4&qs=0&rc=M2R3eHY1bmo8dTMzZjczM0ApaTVkZ2Q4N2VmNztoZjozNmdnNm1rZDNlbDVfLS0xMTZzczZeNDNhLy0yLjRhMjYuLjU6Yw%3D%3D&vl=&vr=,original sound
ThisisAlef,what word did @didirio yelled?? 😆#prank #firecraker #tiktokpranks #quarantinelife #foryou,2900000,26200,554,100,https://v19.tiktokcdn.com/28bc756b041ffa1e7b6e11be04f1cbd1/5eec435e/video/tos/useast2a/tos-useast2a-ve-0068c001/3f82d760d3744d7183634f4c26d7c56c/?a=1233&br=2078&bt=1039&cr=0&cs=0&dr=0&ds=3&er=&l=20200618224718010189074016198CA4E2&lr=tiktok_m&mime_type=video_mp4&qs=0&rc=amczPGdrdnI1dTMzZzczM0ApM2c4NGRlOGQ5N2Y6O2kzOWdqNmRuc2Yuay1fLS02MTZzcy9fYGIuYGNhMDIvNmBeYS06Yw%3D%3D&vl=&vr=,original sound
Jamie Garvin,More quarantine cooking... #funnelcake #fyp #fypシ #foryou #cooking #JustDanceMoves #got2bhome,136900,12700,222,69,https://v19.tiktokcdn.com/657eacc098c6fd403262da3c0a134b5b/5eec4365/video/tos/useast2a/tos-useast2a-ve-0068c003/8daa5e41f1674f13b330f8c07e172e4c/?a=1233&br=5700&bt=2850&cr=0&cs=0&dr=0&ds=3&er=&l=20200618224718010189074016198CA4E2&lr=tiktok_m&mime_type=video_mp4&qs=0&rc=M2Q8cmpoaGg3dTMzNjczM0ApZDRpPGc7aWRpN2g4NmY2aWdxX2lnZzBtXy9fLS0yMTZzczBhNF5iYmE0Ml4uNGAzYmI6Yw%3D%3D&vl=&vr=,ROCKSTAR
Nikki,Look at her face! #quarantine #rottweiler #momlife #foryoupage,653700,85300,1211,891,https://v19.tiktokcdn.com/57d69dbcfcbc001df2f6fd72a45317d0/5eec4365/video/tos/useast2a/tos-useast2a-ve-0068c002/9e2cd9b703634921b37eed06bbf8083e/?a=1233&br=2138&bt=1069&cr=0&cs=0&dr=0&ds=3&er=&l=20200618224718010189074016198CA4E2&lr=tiktok_m&mime_type=video_mp4&qs=0&rc=amozZDNydjVtdDMzZzczM0ApPDg3NDY2OjxlN2U5OmZlZWcwcDRuYWBrc3FfLS02MTZzcy8wMjQxY2EyLi1jMmAyYzI6Yw%3D%3D&vl=&vr=,Wait (The Whisper Song)
Winter,Ummm these strawberries are delicious!  😜🦗🍓#AXEfingersdown #inyourface #strawberries #bugs #washyourfruit,832200,79600,1420,2457,https://v19.tiktokcdn.com/12e6b43e3e52468d5b3dca6aaab0d3bc/5eec4362/video/tos/useast2a/tos-useast2a-ve-0068c001/8d0a0c8bc05447b789face99896df78b/?a=1233&br=4296&bt=2148&cr=0&cs=0&dr=0&ds=3&er=&l=20200618224718010189074016198CA4E2&lr=tiktok_m&mime_type=video_mp4&qs=0&rc=M2hreHQ7c3c4dTMzOzczM0ApNjc0aGk8NmRkN2k1Mzs6ZWdlMS9pMjMtZDFfLS1hMTZzczBiMTEyNDVeNmAwXjIvNC06Yw%3D%3D&vl=&vr=,original sound
Marcos Arredondo,#fyp #foryou #meme #comedy #dadjokes,1900000,265700,5602,860,https://v19.tiktokcdn.com/d3f4344fcd91d54a64f94750c460e920/5eec435e/video/tos/useast2a/tos-useast2a-ve-0068c002/0e1dcb0ecd864973a4090ebeaf6d4416/?a=1233&br=2330&bt=1165&cr=0&cs=0&dr=0&ds=3&er=&l=20200618224718010189074016198CA4E2&lr=tiktok_m&mime_type=video_mp4&qs=0&rc=anZ0czVyOmVvdDMzNjczM0ApM2lmNGUzaDtmNzQ1OzM0aGdmNXMwbDBeam9fLS1eMTZzczM0NDA0YWJjNjYzYF5fMV46Yw%3D%3D&vl=&vr=,original sound
user5260488546939,My dog Luna is broken. She has always loved sitting like a human. She got embarrassed when I confronted her 🥺😝 #dogsoftiktok #dontletthisflop #fyp,1600000,380100,10000,2438,https://v19.tiktokcdn.com/08a103ef07170707c69f690adfc14e43/5eec4364/video/tos/useast2a/tos-useast2a-ve-0068c003/c70908e7d72f41fbb0542b8e6de76f1c/?a=1233&br=3194&bt=1597&cr=0&cs=0&dr=0&ds=3&er=&l=20200618224718010189074016198CA4E2&lr=tiktok_m&mime_type=video_mp4&qs=0&rc=MzVscTdoZ2drdDMzaDczM0ApOjozZjhkNDs6N2Q2Zjc4ZWctazAtNmJrZ21fLS0vMTZzc2NhNDE0MjAvYTMzLy8yMjA6Yw%3D%3D&vl=&vr=,original sound
official_lamar_,Wait till the end! 😳 #duet #fyp #react #reaction,2300000,168900,1130,246,https://v19.tiktokcdn.com/434a24c684c17d4e5aff1e5c3cf62158/5eec4366/video/tos/useast2a/tos-useast2a-ve-0068c003/ea2819733ae94771a56901c866f07a44/?a=1233&br=1626&bt=813&cr=0&cs=0&dr=0&ds=3&er=&l=20200618224718010189074016198CA4E2&lr=tiktok_m&mime_type=video_mp4&qs=0&rc=ajQzZGdtZ25xdTMzOzczM0ApNDppM2U5ZTw8NzQ0PDo1OGdgYWhhcWpsMzNfLS1iMTZzcy0xYzEzYzEvXl8yNWJiLS46Yw%3D%3D&vl=&vr=,original sound
D_j_roberson,Level 13 😈 I’ll do more outside next time! #fyp #foryou #foryoupage #levelup #levelupchallenge,189500,14300,30,81,https://v19.tiktokcdn.com/c70950423e805f0bc33294a9e6e5e1a5/5eec4364/video/tos/useast2a/tos-useast2a-ve-0068c002/479aa5d727574a87ac210a142d9e521c/?a=1233&br=2468&bt=1234&cr=0&cs=0&dr=0&ds=3&er=&l=20200618224718010189074016198CA4E2&lr=tiktok_m&mime_type=video_mp4&qs=0&rc=M3B3M3Fxd2pudDMzNjczM0ApNjRmNGVpZWUzN2hnPDhnNmdrczNobjRncW9fLS1eMTZzcy5fY15fYzIzXi5gYjFeYDA6Yw%3D%3D&vl=&vr=,Level Up
